ZZ, ZZZ, DE, , SPAIN-LLEIDA
ZZ, ZZZ, DE, , PHILIPPINES
ZZ, ZZZ, DE, , POLAND
ZZ, ZZZ, DE, , 
ZZ, ZZZ, , , MD & DE
ZZ, ZZZ, , , REGION 7 (IA KS MO NE)
ZZ, ZZZ, , , NEW ENGLAND STATES
ZZ, ZZZ, , , CHILE
ZZ, ZZZ, DE, , FRANCE-MPB
ZZ, ZZZ, , , CHINA
ZZ, ZZZ, DE, , CANADA-QUEBEC
ZZ, ZZZ, , , REGION 4 (AL FL GA KY MS NC SC)
ZZ, ZZZ, , , NETHERLANDS-BEURSPRIJS
ZZ, ZZZ, , , REGION 10 (AK ID OR WA)
ZZ, ZZZ, , , REGION 2 (NY NJ)
ZZ, ZZZ, , , REGION 1 (CT ME NH VT MA RI)
ZZ, ZZZ, DE, , HUNGARY
ZZ, ZZZ, DE, , BELGIUM-DANIS
ZZ, ZZZ, DE, , VIETNAM
ZZ, ZZZ, , , REGION 8 (CO MT ND SD UT WY)
ZZ, ZZZ, , , MALAYSIA
ZZ, ZZZ, , , CANADA-ONTARIO
ZZ, ZZZ, , , REGION 3 (DE-MD PA WV VA)
ZZ, ZZZ, , , GERMANY
ZZ, ZZZ, DE, , REGION 6 (AR LA NM OK TX)
ZZ, ZZZ, , , REGION 5 (IL IN MI MN OH WI)
ZZ, ZZZ, , , USA-IOWA_MINNESOTA
ZZ, ZZZ, , , REGION 9 (AZ CA HI NV)
ZZ, ZZZ, DE, , DENMARK
ZZ, , DE, , ITALY-CUN
ZZ, ZZZ, DE, , THAILAND
ZZ, DE, , , UNITEDKINGDOM
