"Continent","Country","Date","Price EUR/100kg","Difference","Difference Percentage"
"Europe","Belgium - Danis","04-Jul-2019","120.00","-5.000","-4.00 %"
"Europe","Italy","04-Jul-2019","133.90","-5.000","-4.00 %"
"Europe","Netherlands - Beursprijs","05-Jul-2019","139.00","-5.000","-4.00 %"
"Europe","Russia","26-Jun-2019","142.14","1.919","1.37 %"
"Europe","Spain - Lleida","04-Jul-2019","145.60","0.500","0.34 %"
"Europe","Romania","21-Jun-2019","146.34","0.494","0.34 %"
"Europe","Ukraine","05-Jul-2019","152.70","-2.884","-1.85 %"
"Europe","France - MPB","04-Jul-2019","152.80","0.300","0.20 %"
"Europe","Denmark","04-Jul-2019","158.12","0.040","0.03 %"
"Europe","United Kingdom","29-Jun-2019","168.15","0.709","0.42 %"
"Europe","Poland","28-Jun-2019","173.93","-0.118","-0.07 %"
"Europe","Germany","03-Jul-2019","183.00","-0.118","-0.07 %"
"America","USA - Iowa/Minnesota","05-Jul-2019","-","na","na"
"America","Argentine","28-Jun-2019","99.52","2.768","2.86 %"
"America","Canada - Quebec","05-Jul-2019","114.05","-14.28","-11.13 %"
"America","Brazil - Santa Catarina","01-Jul-2019","115.53","-1.522","-1.30 %"
"America","Brazil - Paraná","01-Jul-2019","116.21","1.234","1.07 %"
"America","Canada - Ontario","28-Jun-2019","123.41","-4.777","-3.73 %"
"America","Mexico - Jalisco","28-Jun-2019","131.84","-1.042","-0.78 %"
"America","Colombia","05-Jul-2019","135.74","0.018","0.01 %"
"America","Mexico - Sonora","28-Jun-2019","136.43","-1.360","-0.99 %"
"America","Chile","05-Jul-2019","146.01","3.995","2.81 %"
"Asia","China","26-Jun-2019","213.69","5.224","2.51 %"
