"Week End Date","Estimated GB clean pig slaughterings (000 head)"
"22 Dec 2018","177.195"
"29 Dec 2018","104.948"
"05 Jan 2019","138.663"
"12 Jan 2019","175.608"
"19 Jan 2019","174.846"
"26 Jan 2019","174.957"
"02 Feb 2019","175.370"
"09 Feb 2019","176.807"
"16 Feb 2019","170.943"
"23 Feb 2019","172.365"
"02 Mar 2019","173.688"
"09 Mar 2019","167.540"
"16 Mar 2019","166.869"
"23 Mar 2019","162.809"
"30 Mar 2019","178.807"
"06 Apr 2019","177.549"
"13 Apr 2019","173.137"
"20 Apr 2019","164.907"
"27 Apr 2019","166.763"
"04 May 2019","173.362"
"11 May 2019","170.233"
"18 May 2019","166.913"
"25 May 2019","161.178"
"01 Jun 2019","170.609"
"08 Jun 2019","167.202"
